emp_id,month,sentiment_score
80,2010-01,-1
1136,2010-01,-1
1324,2010-01,-1
9,2010-02,-1
754,2010-02,-1
758,2010-02,-1
135,2010-03,-1
136,2010-03,-1
308,2010-03,-1
87,2010-04,-1
651,2010-04,-1
717,2010-04,-1
66,2010-05,-1
458,2010-05,-1
1052,2010-05,-1
257,2010-06,-1
383,2010-06,-1
450,2010-06,-1
17,2010-07,-1
232,2010-07,-1
816,2010-07,-1
120,2010-08,-1
341,2010-08,-1
729,2010-08,-1
13,2010-09,-1
100,2010-09,-1
829,2010-09,-1
268,2010-10,-1
504,2010-10,-1
1335,2010-10,-1
26,2010-11,-1
281,2010-11,-1
382,2010-11,-1
297,2010-12,-1
384,2010-12,-1
413,2010-12,-1
166,2011-01,-1
205,2011-01,-1
654,2011-01,-1
227,2011-02,-1
244,2011-02,-1
512,2011-02,-1
127,2011-03,-1
400,2011-03,-1
942,2011-03,-1
329,2011-04,-1
398,2011-04,-1
466,2011-04,-1
77,2011-05,-1
431,2011-05,-1
767,2011-05,-1
801,2011-06,-1
932,2011-06,-1
1137,2011-06,-1
275,2011-07,-1
362,2011-07,-1
406,2011-07,-1
42,2011-08,-1
148,2011-08,-1
195,2011-08,-1
906,2011-09,-1
1656,2011-09,-1
90,2011-09,0
334,2011-10,-1
1514,2011-10,-1
1527,2011-10,-1
82,2011-11,-1
538,2011-11,-1
1297,2011-11,-1
725,2011-12,-1
960,2011-12,-1
1574,2011-12,-1
