emp_id,month,sentiment_score
116,2010-01,1
162,2010-01,1
211,2010-01,1
8,2010-02,1
10,2010-02,1
48,2010-02,1
89,2010-03,1
146,2010-03,1
152,2010-03,1
7,2010-04,1
31,2010-04,1
33,2010-04,1
0,2010-05,1
23,2010-05,1
95,2010-05,1
36,2010-06,1
88,2010-06,1
117,2010-06,1
1,2010-07,1
160,2010-07,1
231,2010-07,1
59,2010-08,1
119,2010-08,1
179,2010-08,1
20,2010-09,1
25,2010-09,1
30,2010-09,1
134,2010-10,1
226,2010-10,1
260,2010-10,1
46,2010-11,1
63,2010-11,1
110,2010-11,1
40,2010-12,1
57,2010-12,1
129,2010-12,1
12,2011-01,1
74,2011-01,1
81,2011-01,1
38,2011-02,1
56,2011-02,1
68,2011-02,1
45,2011-03,1
72,2011-03,1
73,2011-03,1
14,2011-04,1
37,2011-04,1
39,2011-04,1
4,2011-05,1
35,2011-05,1
49,2011-05,1
86,2011-06,1
121,2011-06,1
124,2011-06,1
27,2011-07,1
58,2011-07,1
83,2011-07,1
15,2011-08,1
44,2011-08,1
61,2011-08,1
34,2011-09,1
47,2011-09,1
158,2011-09,1
5,2011-10,1
24,2011-10,1
172,2011-10,1
91,2011-11,1
102,2011-11,1
145,2011-11,1
18,2011-12,1
70,2011-12,1
104,2011-12,1
